ID,NPS 2011,NPS 2010,NPS 2009,NPS 2008,>= 3 FPP Date,>= 10 FPP Date,>= 20 FPP Date,>= 35 FPP Date
156,10,10,,,25/05/2010,01/06/2010,03/09/2010,
157,,9,9,10,06/05/2010,18/05/2010,25/05/2010,08/06/2010
158,10,10,,,18/05/2010,,,
159,10,10,9,,29/05/2010,01/06/2010,29/09/2010,
160,10,10,10,10,05/05/2010,26/05/2010,31/05/2010,20/09/2010
161,10,,,,08/06/2010,,,
162,10,,,,08/10/2010,,,
163,10,10,,9,09/09/2010,28/09/2010,05/10/2010,
164,8,,,8,01/09/2010,01/10/2010,,
165,,10,9,7,30/05/2010,10/06/2010,03/11/2010,
166,10,,10,10,02/09/2010,29/09/2010,,
167,9,9,9,9,17/05/2010,28/05/2010,31/05/2010,10/09/2010
168,10,,,,23/08/2010,,,
169,10,9,10,10,01/09/2010,24/09/2010,06/10/2010,
170,10,,,,09/11/2009,23/12/2009,06/01/2010,
171,10,10,10,10,26/05/2010,02/06/2010,07/09/2010,11/10/2010
172,9,9,,10,04/06/2010,04/06/2010,04/06/2010,04/06/2010
173,10,10,10,10,23/04/2010,13/05/2010,01/06/2010,
174,10,,,,19/09/2010,03/10/2010,,
175,9,9,9,,08/10/2010,06/01/2011,,
176,10,,,,30/04/2010,,,
177,9,,,,27/10/2010,03/11/2010,19/11/2010,
178,10,,,,30/08/2010,12/09/2010,26/01/2011,
179,10,,,,27/05/2010,,,
180,10,,10,,28/04/2010,20/05/2010,01/06/2010,
181,9,,,,14/10/2010,14/10/2010,,
182,,,,,04/06/2010,07/06/2010,,
183,10,,10,9,29/05/2010,08/12/2010,,
184,10,10,,,27/05/2010,,,
185,10,,,,09/11/2010,,,
186,10,10,10,10,23/03/2010,31/05/2010,30/06/2010,
187,,,,9,29/09/2010,08/10/2010,,
188,10,10,10,,16/09/2010,28/09/2010,,
189,10,10,10,,15/05/2010,29/05/2010,01/06/2010,
190,10,9,,,15/09/2010,16/09/2010,21/09/2010,29/09/2010
191,10,9,,,21/09/2010,04/10/2010,20/01/2011,
192,10,10,10,10,20/04/2010,31/03/2010,02/04/2010,
193,,,,,31/05/2010,,,
194,,,10,,11/05/2010,01/06/2010,29/09/2010,
195,10,,,,03/01/2011,03/01/2011,03/01/2011,03/01/2011
196,10,,,10,18/09/2010,14/10/2010,,
197,10,,,,13/04/2010,19/04/2010,,
198,10,,,,12/05/2010,17/05/2010,24/05/2010,01/06/2010
199,10,10,10,10,26/05/2010,12/10/2010,,
200,10,10,,,02/10/2010,04/10/2010,10/10/2010,14/10/2010
201,10,10,9,10,26/05/2010,28/05/2010,01/06/2010,
202,10,10,10,10,07/06/2010,,,
203,10,10,10,10,26/03/2010,01/04/2010,09/05/2010,04/08/2010
204,9,10,9,8,11/05/2010,21/05/2010,28/05/2010,07/06/2010
205,9,,,,19/05/2010,,,
206,10,10,10,10,13/02/2010,28/02/2010,31/05/2010,
207,10,10,10,8,31/05/2010,17/08/2010,,
208,9,,,,06/05/2010,30/04/2010,07/05/2010,16/05/2010
209,9,7,,,23/05/2010,31/05/2010,02/06/2010,
210,9,,,,12/05/2010,27/05/2010,31/05/2010,
211,10,10,10,10,01/06/2010,,,
212,10,9,,,16/10/2010,,,
213,10,,10,,27/09/2010,01/10/2010,,
214,,,,,29/09/2010,10/10/2010,,
215,10,,,,28/05/2010,04/06/2010,09/06/2010,28/07/2010
216,10,9,,10,26/05/2010,29/05/2010,02/06/2010,08/06/2010
217,,,,,15/09/2010,24/09/2010,26/09/2010,28/09/2010
218,10,,,9,20/05/2010,28/05/2010,06/10/2010,
219,9,10,10,7,20/05/2010,10/10/2010,,
220,10,8,,,,,,
221,,,,,24/09/2010,06/10/2010,11/10/2010,18/10/2010
222,,,,,27/09/2010,,,
223,10,,,,30/09/2010,13/10/2010,19/10/2010,
224,9,,,,11/01/2011,11/01/2011,,
225,10,10,10,,14/12/2010,14/12/2010,14/12/2010,
226,9,,,,28/09/2010,12/10/2010,15/10/2010,08/02/2011
227,10,10,10,10,14/05/2010,01/10/2010,,
228,,,,,08/12/2010,08/12/2010,08/12/2010,08/12/2010
229,10,,,10,16/11/2010,18/11/2010,22/11/2010,
230,10,10,10,10,21/05/2010,30/05/2010,08/09/2010,
231,10,10,10,10,27/04/2010,05/05/2010,14/05/2010,26/05/2010
232,10,,,,10/11/2010,19/11/2010,01/12/2010,
233,10,,10,,03/06/2010,26/05/2010,03/06/2010,02/06/2010
234,7,,,,27/05/2010,27/05/2010,20/05/2010,26/08/2010
235,10,10,10,10,11/05/2010,27/05/2010,02/06/2010,
236,10,10,10,10,13/04/2010,18/05/2010,25/05/2010,27/05/2010
237,10,,,,04/05/2010,20/05/2010,12/07/2010,
238,9,9,10,10,14/05/2010,14/05/2010,24/05/2010,27/05/2010
239,10,,,,27/05/2010,07/06/2010,08/02/2011,
240,10,,,,14/06/2010,16/06/2010,23/10/2010,
241,9,,10,10,06/04/2010,29/04/2010,,
242,10,,9,,22/05/2010,01/06/2010,,
243,10,,10,,14/05/2010,21/05/2010,31/05/2010,
244,,8,10,,26/05/2010,01/06/2010,,
245,10,10,8,10,27/08/2010,01/10/2010,,
246,,,10,,16/10/2010,29/10/2010,10/02/2011,
247,10,,,,25/10/2010,08/11/2010,,
248,9,9,9,,13/05/2010,08/06/2010,01/10/2010,
249,10,10,10,10,21/04/2010,21/05/2010,01/06/2010,
250,10,10,10,10,30/04/2010,21/05/2010,28/05/2010,06/06/2010
251,10,,,,28/06/2010,15/07/2010,22/09/2010,
252,10,10,10,10,21/05/2010,30/05/2010,,
253,8,9,4,9,24/04/2010,20/05/2010,27/05/2010,
254,10,10,10,10,14/04/2010,27/04/2010,24/05/2010,08/06/2010
255,,,,,13/05/2010,31/05/2010,,
256,6,,7,,11/05/2010,13/05/2010,14/05/2010,07/08/2010
257,10,,,,21/05/2010,,,
258,10,10,10,,05/05/2010,05/05/2010,07/05/2010,29/05/2010
259,6,8,9,9,19/04/2010,03/05/2010,28/05/2010,23/08/2010
260,10,9,10,10,11/05/2010,29/05/2010,28/09/2010,
261,10,10,9,10,09/05/2010,30/05/2010,13/06/2010,21/09/2010
262,10,7,,8,24/05/2010,01/06/2010,,
263,10,10,10,10,24/05/2010,24/05/2010,24/05/2010,24/05/2010
264,10,,,,16/10/2010,14/01/2011,,
265,,,8,,20/11/2010,,,
266,10,,,,05/10/2010,13/10/2010,15/10/2010,
267,10,8,10,10,27/09/2010,21/10/2010,21/10/2010,
268,9,,,,09/03/2010,19/04/2010,,
269,10,,,,04/04/2010,18/04/2010,21/04/2010,23/04/2010
270,10,,10,,19/10/2010,20/10/2010,,
271,10,10,9,9,23/04/2010,27/04/2010,10/05/2010,21/05/2010
272,,,,,13/12/2010,13/12/2010,13/12/2010,17/12/2010
273,,,,,29/09/2010,04/10/2010,,
274,10,,,,04/06/2010,08/06/2010,13/09/2010,
275,10,,,,20/05/2010,01/06/2010,02/01/2011,
276,10,,9,,01/06/2010,,,
277,9,,,,11/06/2010,,,
278,8,,9,,25/04/2010,23/05/2010,,
279,10,,,,09/06/2010,09/06/2010,,
280,9,8,,,20/04/2010,27/04/2010,15/05/2010,03/06/2010
281,10,,,,10/03/2010,29/03/2010,15/04/2010,
282,10,,,,28/05/2010,30/09/2010,,
283,10,,,,29/04/2010,27/07/2010,,
284,10,,,,29/09/2010,,,
285,10,,,,30/10/2010,,,
286,,,,,02/11/2010,,,
287,10,10,,10,21/05/2010,31/05/2010,,
288,10,10,,,07/10/2010,12/10/2010,21/10/2010,12/01/2011
289,9,9,9,8,11/02/2011,11/02/2011,11/02/2011,
290,10,10,,,14/10/2010,01/11/2010,,
291,10,9,,,17/05/2010,30/08/2010,,
292,10,,,,26/05/2010,02/06/2010,10/10/2010,
293,,10,,10,24/05/2010,03/09/2010,,
